"%s suscribed to newsletter","%s est inscrit à la newsletter"
"%s unsuscribed from newsletter","%s est désinscrit de la newsletter"
":"," :"
": "," : "
%s%d<span class="sup">%d</span>,%d<span class="sup">%d %s</span>
 - title: "%s", - titre : "%s"
 - sku: "%s", - référence : "%s"
"- Language of demand: %s","- Langue demandée : %s"
- Name of exhibition: %s,- Titre de l'exposition : %s
"- Name of product: %s","- Nom du produit : %s"
- Reference: %s,- Référence : %s
- Type of event: ,- Type d'événement : 
- Duration of exhibition: ,- Durée de l'exposition : 
- Organization name: ,- Nom de l'organisation : 
"%s: %s","%s : %s"
"Best Sellers","Les produits les + vendus"
%d item,%d produit
%d items,%d produits
%d item(s) (subject to availability),%d article(s) (sous reserve de disponibilité)
%s Item(s),%s article(s)
%d item(s); Total: ,%s article(s) ; Total : 
%s order(s) cannot be validated,%s commande(s) n'ont pas pu être validée(s)
%s order(s) have been validated.,%s commande(s) ont été validée(s)
%s was added to your shopping cart.,L'article '%s' a été ajouté à votre panier.
<span>icrc.</span>org,<span>cicr.</span>org
Add to Cart,Ajouter au panier
Adding to cart...,Ajout au panier...
Additional Informations,Informations complémentaires
"Address not suscribed to newsletter","Cette adresse n'est pas inscrite à la newletter"
"alert me when back in stock","alertez-moi quand le produit sera en stock"
Author,Auteur
Author: %s,Auteur : %s
Available Languages,Langues disponibles
Back,Retour
Best Sellers,Nos meilleures ventes
"By placing your order, you agree to the Terms & Conditions","Pour poursuivre la commande, vous devez accepter les conditions générales de vente"
"By placing your order, you agree to the <a href=""%s"">Terms & Conditions</a>","Pour poursuivre la commande, vous devez accepter les <a href=""%s"">conditions générales de vente</a>"
Cannot add the item to shopping cart.,Impossible d'ajouter l'article
Cannot add the item to shopping cart: not available,
Cannot buy gifts from internal store,Impossible d'acheter des gadgets depuis le site interne
Cannot find WSDL file,Impossible de trouver le fichier WSDL
Cart,Panier
cart,panier
Change,Modifier
checkout,commander
Choose Language Name,Choisir la langue
Click here,Cliquez ici
"Click to make the demand","Cliquez pour en faire la demande"
Collection price is computed from the available products. Unavailable products may be purchased seperately later.,Le prix de la collection est calculé sur les produits en stock. Les produits en rupture de stock peuvent être commandés séparément à une date ultérieure.
Contact,Contactez-nous
Customer Service,Service client
Customer Services,Service client
Customer Type,Type de client
Date of release:,Date de parution :
Date of release: %s,Date de parution : %s
"Delete this alert","Supprimer cette alerte"
Dimensions:,Dimensions :
Dimensions: %s,Dimensions : %s
Discount: ,J'économise 
Discount,J'économise
Donate,Faites un don
Donate Online,Don en ligne
Donation,Don
"Download the free PDF Versions","Télécharger les versions PDF gratuites"
"Download the free PDF Versions (%s)","Télécharger les versions PDF gratuites (%s)"
e-Book,e-Book
Economic,&Eacute;conomique
Economic with Return receipt,&Eacute;conomique avec accusé de réception
Edit Your Cart,&Eacute;diter votre panier
Enter your Email,Saisissez votre email
Example: <b>%s</b>,Exemple : <b>%s</b>
Exhibition,Exposition
File not found,Fichier introuvable
Film,Film
Forgot your password?,Mot de passe oublié ?
Full Description: ,&nbsp;
Free,Gratuit
Frequently bought associated products,Les clients ayant acheté cet article ont également acheté
Get file,Télécharger le fichier
Get shipping price,Calculer les frais d'expédition
